,xAxis,yAxis
0,0.5,63.13740331885576
1,0.25,58.45138717932928
2,0.16666666666666663,57.13210118954734
3,0.125,56.787107580964786
4,0.1,56.57610819786579
5,0.08333333333333333,56.2490292612579
6,0.07142857142857142,55.76384676006287
7,0.0625,55.14619230628985
8,0.05555555555555555,54.43651047711483
9,0.05,53.67175694307832
10,0.04545454545454545,52.88061121842021
11,0.041666666666666664,52.083572347895334
12,0.03846153846153846,51.294488878023756
13,0.03571428571428571,50.522239396340666
14,0.03333333333333333,49.77215556780092
